True,Predicted,Correct
1iCGH,1iCGH,True
1iIWM,1iIWM,True
1iLfp,1ilfP,False
1iLmL,1iLmL,True
1itD2,ltD2,False
1IvdH,1IvdH,True
1ivsf,1ivsf,True
1iWRs,1IwrS,False
1IzBN,1lzBN,False
1j46T,1j46T,True
1jcaP,1icaP,False
1JIeE,IJHeE,False
1Jki8,1Jki8,True
1jM41,ljM4l,False
1jMez,1jMez,True
1JmrA,1JmrA,True
1Jp78,1Jp78,True
1JQmY,1JQmY,True
1jRsk,1jRsk,True
1JSwJ,1JSwJ,True
1jtj9,1jtj9,True
1jUfl,1jUfI,False
1JYiy,1JYiy,True
1K4Ia,1K4Ia,True
1k59X,1k59X,True
1K9D8,1K9D8,True
1KC6n,1KC6n,True
1KcnQ,1KcnQ,True
1keJI,1kEJI,False
1kmH6,1kmH6,True
1Knev,1KNev,False
1KqA5,1KqA5,True
1Ks1i,1Ks1i,True
1Ku4r,1Ku4r,True
1kVHO,1kVHO,True
1kvYT,IkvYT,False
1kwOp,1kwOp,True
1kwr9,1kwR9,False
1kxJl,1kxJl,True
1kYWb,1kYWb,True
1KZvB,1KZvB,True
1Lcuw,1Lcuw,True
1lcyH,1IeyH,False
1LdLx,1LdLx,True
1LglW,1LglW,True
1LHux,1LHux,True
1lISr,IISr,False
1lKWD,1lKWD,True
1Lna8,1Lna8,True
1lPCe,1lPCe,True
1lQcI,11IQd,False
1lrZD,1lrzd,False
1lsFZ,1lsFZ,True
1lTQv,1TQv,False
1LUIG,1LUiG,False
1LwkV,iLwkV,False
1LwPR,1LwPR,True
1ly8O,1ly8O,True
1LYwh,1LYwh,True
1m1l1,1m11,False
1M9ji,lM9ji,False
1mDPg,1MdPg,False
1mEEE,1mEEe,False
1MJe8,iMJe8,False
1MJti,1MJli,False
1mkEp,1mkEp,True
1MrNq,1MrNq,True
1mSsj,1mSsj,True
1n15H,1n15H,True
1nB7F,1nB7F,True
1nbLh,1nbLh,True
1ncTj,JncTj,False
1nK4k,1nK4k,True
1nlhP,1NLHP,False
1NLp1,1NLp1,True
1nLpG,1nLpG,True
1nmGD,1nmGD,True
1NOMu,INOMu,False
1Nu8T,1Nu8T,True
1NYAe,1NYaE,False
1O3JL,1O3JL,True
1O3yl,1O3yl,True
1O5PP,1O5PP,True
1O9mL,1O9mL,True
1OCJZ,1OCiZ,False
1OFmx,1QFmx,False
1ONDq,1ONDq,True
1Os5m,1Os5m,True
1P14D,1P14D,True
1p6Zz,Ip6Zz,False
1Pa1W,1Pa1W,True
1phOr,1pmrO,False
1pjyp,1pjyp,True
1Pr6z,1Pr6z,True
1PsVB,1PsVb,False
1PSVK,1PsvK,False
1q6pQ,1a6pO,False
1QaDa,jQaDa,False
1QAhZ,1QAhZ,True
1QB4g,1OB4g,False
1QIGl,1lGIl,False
1QIlx,1QIlx,True
1qJZv,1qJZv,True
1QKhG,1QKhG,True
1QksY,1QksY,True
1qn3H,1qn3H,True
1qQJa,1qQJa,True
1QQy6,1Qqy6,False
1QSJA,1QSJA,True
1QtsH,IQtsH,False
1qWyl,1QwYL,False
1Qzig,1Qzig,True
1R4FB,1R4FB,True
1RaIZ,IRaIZ,False
1rAXF,1rAXF,True
1reLU,1RElU,False
1RhLt,1RhLt,True
1rqNM,1rqNM,True
1RwNn,1RwNn,True
1S374,1S374,True
1sb3D,1sb3D,True
1SC8M,1SC8M,True
1se8d,1se8d,True
1SEnr,1SEnr,True
1SgR3,1SgR3,True
1sHSh,1sHSh,True
1sia5,1sia5,True
1SIpj,1Slpj,False
1SP3O,ISP3O,False
1SRJG,1SRJG,True
1sS6m,1sS6m,True
1sszv,1sszv,True
1SuQ4,1SUq4,False
1svvN,1svvN,True
1t2ve,1t2ve,True
1t4BZ,1t4BZ,True
1TbYS,1TbYS,True
1TD48,1TD48,True
1TDK9,1TDK9,True
1tJiy,1tJiy,True
1Tjpa,1Tjpa,True
1tlZA,4TLZA,False
1tQXJ,1tQXJ,True
1tTIh,1tiH,False
1TWjf,1TWjf,True
1twzR,1twzR,True
1tyYT,ItyYT,False
1u8xw,1u8xw,True
1UBqJ,1UBqJ,True
1UhC9,1UhC9,True
1uiDH,1uidh,False
1uJNQ,1uJNQ,True
1UkGe,iUkGe,False
1ukjO,1ukjO,True
1UnWl,1UnWl,True
1UOsY,1UOsY,True
1Uqdu,iUqdu,False
1uSRk,1u5Rk,False
1UUKX,iUUKX,False
1uX6z,1uX6z,True
1UXQa,1UXQa,True
1uzg7,1UZG7,False
1uzJr,1uzJr,True
1uZsz,1UZSz,False
1Uzx3,Uzx3I,False
1v52z,1v52Z,False
1v5dY,1v5dY,True
1v5xj,1v5xj,True
1vaIk,1vaIk,True
1VDPn,1VDPn,True
1vEVO,1vEVO,True
1VGAz,1VGaz,False
1viNn,tvINn,False
1vkGB,1vkGB,True
1VlWA,1VlWA,True
1VNnK,1VNnK,True
1vQdJ,1vQdJ,True
1vTBi,1vTBi,True
1vveD,1vveD,True
1vVuS,1VVUs,False
1VXM3,1VXM3,True
1vzK8,1vzK8,True
1W6Xs,1W6Xs,True
1w8Z6,Iw8Z6,False
1wB5r,1wB5r,True
1wDcH,lwDcH,False
1WiZh,1WiZh,True
1WjHz,1WjHz,True
1WpbN,1WpbN,True
1wVJk,1wVJk,True
1ww9u,1w9u,False
1wxAh,1wxAh,True
1WxD7,1WxD7,True
1x2CT,1x2CT,True
1X5fc,1x5fC,False
1XiQ8,1XlQ8,False
1XJpE,1XJpE,True
1Xkby,1Xkby,True
1Xt6f,1XT6f,False
1Xtq2,1Xtq2,True
1XWGh,1XWgH,False
1Y1wm,IY1wm,False
1yGuG,1y6uG,False
1YI1Z,1YI1Z,True
1YIce,1YIce,True
1yJAy,1yJAy,True
1yjF8,1yjF8,True
1YKHv,1YKHv,True
1YNK5,1YNK5,True
1yNwL,1YNWl,False
1YSJT,1YSJT,True
1ZDeb,1ZDeb,True
1Ze5j,1Ze5j,True
1ZFxb,1zfXb,False
1zgCQ,1zgCQ,True
1zhd9,1zhq9,False
1ziNc,1zINc,False
1zLvm,1zLvm,True
1zOHn,1zOHn,True
1ZW2M,lZW2M,False
1zXHF,1zXHF,True
1ZYdM,1ZYdM,True
1ZZSj,1ZZSj,True
216RR,216RR,True
219yL,219YL,False
21qUm,21qUm,True
21TfA,21TfA,True
22cRv,22cRV,False
22CyA,22CA,False
22EYg,22EYg,True
22F5J,22F2J,False
22HhJ,2HhJ,False
22Wb4,22Wb4,True
236aX,236aX,True
23EqC,23EqC,True
23HwD,23HwD,True
23Mdv,23Mdv,True
23VcG,23VcG,True
23XHy,23XHy,True
23Y7X,23Y7X,True
247th,247th,True
24ezk,24ezk,True
24FeN,24FeN,True
24GCl,24gCl,False
24wOb,24wOb,True
258J6,256J6,False
25gHp,25gHp,True
25hb9,25hb9,True
25SO8,25SO8,True
25t63,25t63,True
25x15,25x15,True
264ay,264ay,True
268Fs,268FS,False
26bdi,26bqi,False
26DIa,26DIa,True
26gKH,26Gkh,False
26HLc,26HLe,False
26KJG,26KJG,True
26KJp,26KJp,True
26Lm1,26Lm1,True
26XsI,26Xsi,False
279a3,279a3,True
27d64,27d64,True
27QfX,27QfX,True
27u3v,27u3V,False
27wcL,27wcL,True
28adg,28adg,True
28IHd,281Hd,False
28L6e,28L6e,True
29CU3,29CU3,True
29J42,29J42,True
29S8x,29S8x,True
29wOU,29wOU,True
29xfr,29xfr,True
2A43U,2A43U,True
2a6ls,2a6ls,True
2ab3q,2ab3Q,False
2abyO,2abyO,True
2aHdr,2aHdr,True
2aHqv,2aNuv,False
2aqbi,2aqbi,True
2AW5B,2AW5B,True
2AW7q,2Aw7q,False
2AZgF,24agF,False
2b1yY,2bIyY,False
2b2vR,2b2vR,True
2BeZs,2BeZs,True
2BJu4,2BJu4,True
2bN1w,2bN1w,True
2bPgr,2bPgr,True
2BtO2,2BtO2,True
2bUdv,2budv,False
2Bvna,2Bvna,True
2bwjJ,2bwjJ,True
2bxw6,2bxw6,True
2byae,2byae,True
2C2KS,2C2KS,True
2cA17,2cAI7,False
2CEwX,2CEwX,True
2CFpn,2CFpn,True
2CfYD,2CFyD,False
2ciHx,2ciHx,True
2CJW6,2CJW6,True
2CKyW,2CKyW,True
2crUc,2crUc,True
2CWd6,2CWd6,True
2CwhB,2CwhB,True
2CX6a,2cX6A,False
2d5gl,2d5gl,True
2D8ev,2D8cv,False
2daC6,2dac6,False
2DbTJ,2DbTJ,True
2DBZH,2dbZH,False
2deH8,2deH8,True
2DgB4,2DgB4,True
2DhM7,2DhM7,True
2DsqA,2DsqA,True
2Dz6S,2Dz6S,True
2E1vG,2P1vG,False
2e258,2e258,True
2E2CP,2E2CP,True
2E7Bu,2E7Bu,True
2eB2G,2eB2G,True
2EHm3,2EHm3,True
2EjHT,2EiNT,False
2ejMS,2ejMS,True
2EK6p,2EK6p,True
2ekGE,2eKGE,False
2eNSB,2eNSB,True
2eXSY,2eXSY,True
2eYgN,2eYgN,True
2eZzQ,2eZzQ,True
2f4cv,2f4cv,True
2fdSR,2fdSR,True
2fDV9,2fDV9,True
2ff1Z,2ff1Z,True
2FJTb,2FJTb,True
2fjTS,2fjTS,True
2FKzR,2FKzR,True
2FLnH,2FLnH,True
2FnEh,2FnEh,True
2fnfk,2fnfk,True
2FNzy,2FNzy,True
2fuQT,2FUqt,False
2FXyN,2FXyN,True
2G2D7,2G2D7,True
2G2lZ,2G2lZ,True
2g4Xe,2g4Xe,True
2gFIS,2gF4S,False
2ggcd,2ggcd,True
2ghaD,2ghaD,True
2GkFZ,2GkFZ,True
2GLWf,2GLWf,True
2gLZs,2gLZs,True
2GQdJ,2OQdJ,False
2grsI,2gRSi,False
2gUey,2gUey,True
2Gv3n,2Gv3n,True
2gygH,29ygH,False
2Gyxz,2Gyxz,True
2H4S1,2H4S1,True
2H5KB,2H5KB,True
2h8k6,2h8k6,True
2hBpJ,2hBpJ,True
2hCtL,2hCtL,True
2hGRv,2hGRv,True
2HLTB,2HLTB,True
2hMTb,2hMtb,False
2hWBM,2hWBM,True
2HXeU,2HXcU,False
2hzVN,2hZvN,False
2i2Xe,Zi2Xe,False
2icjt,2ICJT,False
2if2a,2IF2A,False
2IhkF,2IhkF,True
2ijBH,2ijbH,False
2IJEJ,2UJEJ,False
2IJFR,2IJFR,True
2Imem,2lmem,False
2iNFm,2iNFm,True
2iRdr,21Rdr,False
2IRwK,2IRwK,True
2IrzF,2rzF,False
2ITV8,2lTV8,False
2Iw1D,2Iw1D,True
2iW4D,2IW4D,False
2IyKD,2IyKD,True
2iZaY,2iZaY,True
2j7s7,2j7s7,True
2JBFG,2JBFG,True
2Jd74,2Jd71,False
2JDPM,2JDPM,True
2jdSU,2JdSu,False
2jqia,2jqia,True
2JSzw,2JSzw,True
2JWY9,2JWY9,True
2jYiZ,2JYIZ,False
2K2i6,2K2i6,True
2k3Rj,2k3Rj,True
2kbNC,2kbNC,True
2KCBY,2KCBY,True
2kDjc,2kDjc,True
2Ketq,2ketq,False
2KF3U,2KF3U,True
2kHSG,2kHSG,True
2KhZE,2KhZE,True
2KJLY,2KJLy,False
2kKME,2Kkme,False
2KqyT,2KqyT,True
2kRsE,2kRsE,True
2KruB,2KruB,True
2KteT,2KteT,True
2KvFC,2KvFC,True
2kWI8,2Kwi8,False
2kwNU,2kwNU,True
2KXJc,2KXJc,True
2kYHy,2kYhy,False
2l3sI,2l3sl,False
2LaDY,2LaDY,True
2ldeQ,2ldeQ,True
2LEi3,2LEi8,False
2LgiQ,2LgjQ,False
2Lgnz,2Lgnz,True
2LLnH,2LLnH,True
2LmWs,2LmWs,True
2Lr4e,2Lr4e,True
2LT4k,2LT4K,False
2ltO5,2tO5,False
2M2Zr,2m2Zr,False
2m4jx,2m4jx,True
2M6Fv,2M6fv,False
2Ma4K,2Ma4K,True
2MBJR,2mbjr,False
2mf6E,2mf6E,True
2mftN,2mftN,True
2MKWG,2MKWG,True
2mMQS,2mMQS,True
2MRdi,2MRdi,True
2MX9h,2MX9h,True
2MYAv,2MYAv,True
2N1rN,2N1RN,False
2N8fG,2N8TG,False
2n9N6,2n9N6,True
2N9QY,2N9QY,True
2NapR,2NapR,True
2nciv,2nciv,True
2nEKM,2nEKM,True
2nFyW,2nFyW,True
2ng8e,2ng8e,True
2NhgR,2NhgR,True
2nLTD,2nLTD,True
2nRJD,2nRJD,True
2Nszk,2Nszk,True
2Nx4S,2Nx4S,True
2NyMB,2NyMB,True
2O6z6,2O6z6,True
2OCNN,2OCN,False
2OetR,2OetR,True
2OeUD,2OeUD,True
2OmnD,2OmrD,False
2OPOC,2OPOC,True
2OsT5,2O75,False
2OU2s,2OU2s,True
2OWUA,2OWuA,False
2PA1a,2PA1a,True
2peDk,2PlDK,False
2pEjC,2peJC,False
2PIuD,2PIuD,True
2Pjlt,2Pjlt,True
2PLhO,2PLhO,True
2pPbV,2pPbV,True
2pt2w,2pt2w,True
2PtDY,2PtDY,True
2puHA,2puHA,True
2PW85,2PW85,True
2PyNP,JPyNP,False
2pYUd,2pYUd,True
2Q4lO,2Q4lO,True
2q6wi,2q6wi,True
2q8S7,2q8S7,True
2qbhV,2qbhV,True
2QbO9,2QbO9,True
2QGSU,2Q6SU,False
2QhPF,2QhPF,True
2qHVa,2qHVa,True
2Qjul,2Qjul,True
2Ql8z,2OI8z,False
2Qmbz,2Qmbz,True
2QNzl,2QNzl,True
2qtH2,2qtH2,True
2QxOw,2qXOW,False
2r17b,2r17b,True
2r1Gl,2r1Gl,True
2R2pb,2R2pb,True
2rDmi,2rDmi,True
2Rhu9,2Rhu9,True
2rIg7,2rIg7,True
2Rjw3,2Rjw3,True
2rk3v,2rk3v,True
2RPMG,2RPMG,True
2RQvU,2RQvU,True
2RS1H,2rs1H,False
2rUOW,2fUOW,False
2rwCy,2lwCy,False
2RyDl,2rYDI,False
2S9qK,2S9qK,True
2sBVv,2sBVv,True
2SdBQ,2SdBQ,True
2sDqf,2sDqf,True
2sgcN,2sgcN,True
2SqZp,2SqZp,True
2SUzF,2sUZf,False
2SXIk,2SXIk,True
2Szrv,2Szrv,True
2T2Ej,2T2Ej,True
2T5hs,2T5hs,True
2t8Ak,2t8Ak,True
2thkS,2thKS,False
2TIBu,2TIBu,True
2TKdI,2TKdl,False
2tL8p,2tL8p,True
2tO6I,2tO6l,False
2TPEA,2TPEA,True
2tTDt,2tTDt,True
2ttOh,2TTOH,False
2tu8t,2tu8t,True
2tuq5,2tuq5,True
2tWFm,2tWFm,True
2tyN8,2tyN8,True
2U3u6,2U3u6,True
2u7Fc,2u7Fc,True
2UCtL,2UCtL,True
2UejP,2UeJp,False
2UFCa,2UFCa,True
2UFTw,2UFTw,True
2ugPn,2ugPn,True
2umb7,2umb7,True
2us2P,2us2P,True
2UX8p,2UX8P,False
2uXgI,2uXgl,False
2UxT6,2UxT6,True
2UYRl,2uYrL,False
2v11v,2v1v,False
2V1lA,2V1lA,True
2vDIH,2vDlH,False
2vEqT,2veQT,False
2vhMA,2vhMA,True
2vJDA,2VJdA,False
2vMu9,2vMu9,True
2vtO2,2vtO2,True
2vu3C,2vu3C,True
2vvgA,2vvgA,True
2vwlc,2vw1e,False
2Vx6H,2Vx6H,True
2vxSL,2Vxsl,False
2VXX4,2vXX4,False
2Vzad,2Vzad,True
2VZrX,2VZrX,True
2WARm,2WaRm,False
2wBRh,2wBRh,True
2wi51,2wi51,True
2wi5O,2wi5O,True
2wIIT,2wIiT,False
2wiRc,2wiRc,True
2WjZZ,2WjZZ,True
2WnFA,2wnFa,False
2WPTa,2WPTa,True
2wsEi,2wsEi,True
2wSzr,2wSzr,True
2Wx1I,2WxI,False
2WyYG,2WyYG,True
2Xa5Q,2Xa5Q,True
2XeBb,2XeBb,True
2xI8e,2xI8e,True
2XKsW,2XKsW,True
2xLwZ,2XlWZ,False
2xO3w,2xQ3w,False
2XOm1,2XOm1,True
2xrnz,2xrnz,True
2xRtY,2xRtY,True
2Xtel,2Xte1,False
2XtFX,2XtFX,True
2xti7,2xtI7,False
2XwPv,2XwPv,True
2Y35l,2Y35l,True
2Y4lV,2Y4IV,False
2Y6Fg,2Y6Fg,True
2y834,2y834,True
2YaAq,2YaAq,True
2yaMY,2yAmY,False
2yBdU,2yBdU,True
2yCWb,2yCWb,True
2yhDh,2YHdh,False
2yIWC,2ylWC,False
2YJQb,2yJQB,False
2yObD,2yQbD,False
2YSln,2YsLN,False
2yT5t,2yT5t,True
2Z9Cp,2Z9Cp,True
2ZASW,2ZASW,True
2zdH2,2ZDh2,False
2ziQz,2zjQz,False
2ZIsf,2ZIsf,True
2zj95,2zj95,True
2zmH8,2zMH8,False
2zmQ9,2zmQ9,True
2ZOBs,2ZOBs,True
2ZRzJ,2ZRzJ,True
2zSZE,2zSZE,True
2ZTB8,2ZTB8,True
318LO,318LO,True
31Jyz,31Jyz,True
31NPq,31nPq,False
31rGj,31rGj,True
31TJi,3ITJi,False
31TVf,31TVf,True
31Y71,3IY71,False
328H8,328H8,True
32AFm,32AFM,False
32Hlm,32Iim,False
32QzK,32QzK,True
32rWn,32rWn,True
32u7b,32u7b,True
32YDL,32YDL,True
33Eft,33Eft,True
33gwc,33gwc,True
33jem,33jem,True
33Kjk,33KjK,False
33mUT,33mUT,True
33Spr,3Spr,False
33wvM,33wvm,False
33zjF,33zjF,True
346I6,346I6,True
349Ej,349Ej,True
34ptC,34PTC,False
34VOl,34VOl,True
359Gf,359Gf,True
35eBZ,35eBZ,True
35f3k,35f3k,True
35Ftp,35Ftp,True
35IDb,35IDb,True
35IUD,35lUD,False
35Ox6,35Ox6,True
35qpV,35qpV,True
35Rl2,35Ri2,False
35Z4J,35z4j,False
362Y3,362Y3,True
366EV,366EV,True
36dES,36dfS,False
36fvD,36fvD,True
36GS8,36GS8,True
36lL5,36lL5,True
36M21,36M21,True
36Px9,36Px9,True
36shO,36snO,False
36ths,36ths,True
36tmE,86tmE,False
37BvR,37BvR,True
37JiJ,37JiJ,True
37N2c,37N2c,True
37Pbn,37Pbn,True
37TEN,37fEN,False
37ZfT,37ZfT,True
38SJK,38SJK,True
394CX,394CX,True
39blI,39blI,True
39Dev,39Dev,True
39NFg,39NFg,True
39r8V,39r8V,True
39y1L,39y1t,False
3a2ky,3a2ky,True
3a66i,3a6i,False
3a7ke,3a7ke,True
3A8mM,3A8mM,True
3acns,3acns,True
3ad1q,3ad1q,True
3aDCG,3aDCG,True
3AIMg,3AIMg,True
3ajtJ,3AJTJ,False
3al2Z,3al2Z,True
3AO39,3AO39,True
3aOeQ,3aOeQ,True
3ArhN,3ArhN,True
3asbn,3ASbN,False
3AVTx,3aVTX,False
3ax8a,3ax8a,True
3b2MW,3b2MW,True
3B7qd,3B7qd,True
3b7Tl,3b7Tl,True
3batg,3bAt6,False
3BBcT,3BBcT,True
3bD2N,3bD2N,True
3bdMj,3bdMj,True
3BjpM,3BjpM,True
3BKY4,3BKY4,True
3BlU9,3BlU9,True
3BmuL,3BmuL,True
3bO6J,3bO6J,True
3buDO,3buDD,False
3BwAd,3BwAd,True
3cdeT,3cdeT,True
3cKpI,3cKpl,False
3cSIX,3cSIX,True
3ctWw,3ctWw,True
3CuIk,3CuIk,True
3cvAy,3cvAy,True
3cVF4,3cVF4,True
3CXKC,3CXkC,False
3cYWY,3cYWY,True
3D4Ac,3D4Ac,True
3DdbW,3DdbW,True
3dF2D,3dFzD,False
3DMdg,3DMdg,True
3DsCg,3dSCG,False
3DsN6,3DsN6,True
3duM5,3duM5,True
3dw4z,3dw4z,True
3DWzU,3dwzU,False
3DxJj,3DxJj,True
3E2nZ,3E2nZ,True
3e2Sj,3e2SJ,False
3E8OS,3E8OS,True
3EbLb,3EbLb,True
3ebVs,3ebVs,True
3EIyp,3EIYp,False
3ENUY,3FNUY,False
3Env3,3Env3,True
3etBS,3eIBS,False
3eyMn,3eyMn,True
3F9nW,3FSnW,False
3FcpR,3FcpR,True
3ffdx,3ffdx,True
3FImc,3F1mc,False
3fPXQ,3fpxQ,False
3fRIq,3fRlq,False
3fsSF,3fsSF,True
3FvvB,3FvvB,True
3G2TK,3G2TK,True
3g5BI,3g5Bl,False
3G6Aw,3G6Aw,True
3GHB1,3GHB1,True
3Gi5c,3GI5C,False
3GkSy,3GkSy,True
3gM9R,3gM9R,True
3gntI,3gntI,True
3GNzR,3GNzR,True
3gpxD,3gpxD,True
3grw2,3grW2,False
3GSjC,3GSjC,True
3Gvm6,3Gvm6,True
3Gx27,3Gx27,True
3h4DP,3h4DP,True
3HAvd,3HAvd,True
3HnsY,3HnsY,True
3hug1,3hug1,True
3HuHy,3HuHy,True
3hw22,3hw22,True
3HW81,3H8M,False
3hWnz,3hWnz,True
3HWyJ,3HwYJ,False
3hXNg,3hXNg,True
3hxVN,3hxVN,True
3I1eh,3Ich,False
3iBId,3iBId,True
3ibvG,3ibvG,True
3if6Z,3IF6Z,False
3ijXl,3ijXl,True
3ikdj,3IKdJ,False
3ikv1,3IKv1,False
3Img3,3Img3,True
3IpFE,3IpFE,True
3IsmY,3IsmY,True
3iTYK,3iTYK,True
3j2D6,3j2D6,True
3j2yf,3j2Yf,False
3j9ms,3J9ms,False
3jB47,3jB47,True
3Jf4e,3JF4E,False
3jhGW,3jhGW,True
3JJX1,3JJx1,False
3JMa6,3jma6,False
3Jn5G,3Jn5G,True
3jrxL,3jrxL,True
3jTL6,3jTL6,True
3jtVb,3jtVb,True
3JXym,3JXym,True
3jyIl,3yI,False
3Jz34,3Jz34,True
3K3QJ,3K3QJ,True
3ka1t,3Ka1t,False
3KCO6,3KCO6,True
3kdFd,3kdFd,True
3kjuh,3kJUh,False
3kMF1,3kMF1,True
3kOCW,3kOCW,True
3krdr,3krdr,True
3KuZq,3KuZq,True
3Kwu4,3Kwu4,True
3KYfO,3kYFO,False
3Kzhy,3Kzhy,True
3KZqS,3KZqS,True
3l3AD,3l3AD,True
3L6MA,3L6MA,True
3LBZT,3LBZT,True
3LDlG,3LDlG,True
3lEa7,3lEa7,True
3lf2Q,3lf2Q,True
3lFxC,3lFXC,False
3lifK,3IifK,False
3lILI,3I,False
3LlKr,3LIKr,False
3LQfJ,3LQfJ,True
3lqpO,3lqpO,True
3lsgp,3LSgP,False
3lWCf,3lWCf,True
3LXMG,3LXMG,True
3LYiL,3lYIL,False
3M5np,3M5np,True
3m71Q,3m71Q,True
3MaiF,3MaiF,True
3MdTC,3MdTC,True
3MDvX,3MDvX,True
3ML9B,3ml9B,False
3MmhL,3MmhL,True
3mvZn,3mvZn,True
3MYNZ,3MYNZ,True
3mZjY,3mZiY,False
3N1Pm,3NlPm,False
3N519,3N519,True
3N6Cc,3N6Cc,True
3nCNE,3nCNE,True
3NE6q,3NE6q,True
3NFlw,3NFlw,True
3NM7f,3NM7f,True
3NPEA,3NPEa,False
3NVHi,3NV1I,False
3Nvsr,3Nvsr,True
3OANW,3OANW,True
3OJdi,3OJdi,True
3OjjG,3OjjG,True
3Osl7,3Osl7,True
3p32A,3p32A,True
3p5yb,3p5yB,False
3P6Br,3P6Br,True
3PAHM,3PAHM,True
3PASE,3PaSE,False
3pAX7,3pAX7,True
3PBwA,3PBwA,True
3pjO1,3pjO1,True
3plai,3pJAI,False
3PMh4,3PMh4,True
3POKg,3POKg,True
3puKF,3puKF,True
3pVah,3pVah,True
3Pxk7,3Pxk7,True
3Q4xU,3Q4xU,True
3Qb9K,3Qb9K,True
